Seq num.,Source,Queue @src,Transmit @src,Receive @C,Transmit @C,Receive @D
0,B,0,0,11,11,22
1,B,0,10,21,31,42
2,A,0,0,11,22,33
3,A,0,10,21,42,53
4,A,0,20,31,61,72
5,A,0,30,41,61,72
6,A,0,40,51,81,92
7,A,0,50,61,91,102
8,A,0,60,71,91,102
9,A,0,70,81,111,122
10,A,0,80,91,121,132
11,A,0,90,101,121,132
12,B,500,500,511,511,522
13,B,500,510,521,521,532
14,B,1000,1000,1011,1011,1022
15,B,1000,1010,1021,1031,1042
16,A,1000,1000,1011,1022,1033
17,A,1000,1010,1021,1042,1053
18,A,1000,1020,1031,1061,1072
19,A,1000,1030,1041,1061,1072
20,A,1000,1040,1051,1081,1092
21,A,1000,1050,1061,1091,1102
22,A,1000,1060,1071,1091,1102
23,A,1000,1070,1081,1111,1122
24,A,1000,1080,1091,1121,1132
25,A,1000,1090,1101,1121,1132
26,B,1500,1500,1511,1511,1522
27,B,1500,1510,1521,1521,1532
28,B,2000,2000,2011,2011,2022
29,B,2000,2010,2021,2031,2042
30,A,2000,2000,2011,2022,2033
31,A,2000,2010,2021,2042,2053
32,A,2000,2020,2031,2061,2072
33,A,2000,2030,2041,2061,2072
34,A,2000,2040,2051,2081,2092
35,A,2000,2050,2061,2091,2102
36,A,2000,2060,2071,2091,2102
37,A,2000,2070,2081,2111,2122
38,A,2000,2080,2091,2121,2132
39,A,2000,2090,2101,2121,2132
40,B,2500,2500,2511,2511,2522
41,B,2500,2510,2521,2521,2532
42,B,3000,3000,3011,3011,3022
43,B,3000,3010,3021,3031,3042
44,A,3000,3000,3011,3022,3033
45,A,3000,3010,3021,3042,3053
46,A,3000,3020,3031,3061,3072
47,A,3000,3030,3041,3061,3072
48,A,3000,3040,3051,3081,3092
49,A,3000,3050,3061,3091,3102
50,A,3000,3060,3071,3091,3102
51,A,3000,3070,3081,3111,3122
52,A,3000,3080,3091,3121,3132
53,A,3000,3090,3101,3121,3132
54,B,3500,3500,3511,3511,3522
55,B,3500,3510,3521,3521,3532
56,B,4000,4000,4011,4011,4022
57,B,4000,4010,4021,4031,4042
58,A,4000,4000,4011,4022,4033
59,A,4000,4010,4021,4042,4053
60,A,4000,4020,4031,4061,4072
61,A,4000,4030,4041,4061,4072
62,A,4000,4040,4051,4081,4092
63,A,4000,4050,4061,4091,4102
64,A,4000,4060,4071,4091,4102
65,A,4000,4070,4081,4111,4122
66,A,4000,4080,4091,4121,4132
67,A,4000,4090,4101,4121,4132
68,B,4500,4500,4511,4511,4522
69,B,4500,4510,4521,4521,4532
70,B,5000,5000,5011,5011,5022
71,B,5000,5010,5021,5031,5042
72,A,5000,5000,5011,5022,5033
73,A,5000,5010,5021,5042,5053
74,A,5000,5020,5031,5061,5072
75,A,5000,5030,5041,5061,5072
76,A,5000,5040,5051,5081,5092
77,A,5000,5050,5061,5091,5102
78,A,5000,5060,5071,5091,5102
79,A,5000,5070,5081,5111,5122
80,A,5000,5080,5091,5121,5132
81,A,5000,5090,5101,5121,5132
82,B,5500,5500,5511,5511,5522
83,B,5500,5510,5521,5521,5532
84,B,6000,6000,6011,6011,6022
85,B,6000,6010,6021,6031,6042
86,A,6000,6000,6011,6022,6033
87,A,6000,6010,6021,6042,6053
88,A,6000,6020,6031,6061,6072
89,A,6000,6030,6041,6061,6072
90,A,6000,6040,6051,6081,6092
91,A,6000,6050,6061,6091,6102
92,A,6000,6060,6071,6091,6102
93,A,6000,6070,6081,6111,6122
94,A,6000,6080,6091,6121,6132
95,A,6000,6090,6101,6121,6132
96,B,6500,6500,6511,6511,6522
97,B,6500,6510,6521,6521,6532
98,B,7000,7000,7011,7011,7022
99,B,7000,7010,7021,7031,7042
100,A,7000,7000,7011,7022,7033
101,A,7000,7010,7021,7042,7053
102,A,7000,7020,7031,7061,7072
103,A,7000,7030,7041,7061,7072
104,A,7000,7040,7051,7081,7092
105,A,7000,7050,7061,7091,7102
106,A,7000,7060,7071,7091,7102
107,A,7000,7070,7081,7111,7122
108,A,7000,7080,7091,7121,7132
109,A,7000,7090,7101,7121,7132
110,B,7500,7500,7511,7511,7522
111,B,7500,7510,7521,7521,7532
112,B,8000,8000,8011,8011,8022
113,B,8000,8010,8021,8031,8042
114,A,8000,8000,8011,8022,8033
115,A,8000,8010,8021,8042,8053
116,A,8000,8020,8031,8061,8072
117,A,8000,8030,8041,8061,8072
118,A,8000,8040,8051,8081,8092
119,A,8000,8050,8061,8091,8102
120,A,8000,8060,8071,8091,8102
121,A,8000,8070,8081,8111,8122
122,A,8000,8080,8091,8121,8132
123,A,8000,8090,8101,8121,8132
124,B,8500,8500,8511,8511,8522
125,B,8500,8510,8521,8521,8532
126,B,9000,9000,9011,9011,9022
127,B,9000,9010,9021,9031,9042
128,A,9000,9000,9011,9022,9033
129,A,9000,9010,9021,9042,9053
130,A,9000,9020,9031,9061,9072
131,A,9000,9030,9041,9061,9072
132,A,9000,9040,9051,9081,9092
133,A,9000,9050,9061,9091,9102
134,A,9000,9060,9071,9091,9102
135,A,9000,9070,9081,9111,9122
136,A,9000,9080,9091,9121,9132
137,A,9000,9090,9101,9121,9132
138,B,9500,9500,9511,9511,9522
139,B,9500,9510,9521,9521,9532
140,B,10000,10000,,,
141,B,10000,,,,
142,A,10000,10000,,,
143,A,10000,,,,
144,A,10000,,,,
145,A,10000,,,,
146,A,10000,,,,
147,A,10000,,,,
148,A,10000,,,,
149,A,10000,,,,
150,A,10000,,,,
151,A,10000,,,,
